iteration,train_rmse,validation_rmse
254,165.16470212607376,168.63493102919264
255,164.61395739294122,168.40689165623982
256,164.27926579683626,168.0183843817891
257,163.8006610546554,167.96132802578526
258,163.37503400141355,167.6897963216488
259,163.0911185305894,167.61379889458226
260,162.94100435506232,167.55436390045796
261,162.6738431982792,167.43957551306232
262,162.39293871921507,167.2422665150171
263,162.1089289013727,166.9277585970697
264,161.80594345477593,166.82688866373252
265,161.5632914132501,166.7073287786686
266,161.3009036519848,166.56438243061598
267,161.08839603734998,166.47260707856188
268,160.7730814038371,166.18718774671163
269,160.42158950575288,166.01637672723916
270,160.18456571614152,165.9590355639988
271,159.82479715296068,165.64818013543734
272,159.47043884277497,165.55157791922855
273,159.21057108141468,165.48763321650222
274,158.96774605551326,165.3953291034491
275,158.84478901542926,165.23976878867694
276,158.14114624796778,164.4739876243636
277,157.74904796783233,164.27082961087984
278,157.18063578678746,163.98490571484177
279,156.89231905569088,163.8993469938242
280,156.60444703100382,163.67361717673546
281,156.4019098240842,163.58238721003266
282,156.18969265027636,163.4961943774335
283,156.02715270044672,163.39506199165396
284,155.66989487486285,163.12083895745104
285,155.4487525105255,162.9404817953214
286,155.23267120661527,162.91202870887963
287,153.81476007569225,161.42862676954508
288,153.55536439987014,161.35473854306323
289,153.30122296976705,161.15731033789967
290,153.0909338209732,161.08277518221988
291,151.6524097329811,159.64644502811478
292,151.29581272490063,159.4466743528951
293,151.0620353952818,159.37368637863187
294,150.72249896437552,159.3166749820699
295,150.43734239451635,159.1697046699829
296,150.1340942541531,158.9427106178787
297,149.84105307846167,158.83053105330265
298,149.62617896216804,158.71193970736653
299,149.34524593121893,158.67743127731552
300,149.0274975150864,158.32750079307897
301,148.71291922358856,158.12803794440327
302,148.45655678132985,158.14669170104764
303,147.93482800761487,157.9316172693179
304,147.66023550537568,157.87575177122358
305,147.38191719856582,157.57226537847757
306,147.03747253412865,157.4798127136154
307,146.84537782374264,157.28302793156365
308,146.53286787093728,157.18509006292896
309,146.31574377886227,157.0761788776794
310,146.12448936501298,157.00603287231468
311,145.9653561640656,156.90662943023978
312,145.73348726080567,156.86476138390157
313,145.49470066171068,156.7764057290738
314,144.90852632799823,156.3630039544171
315,144.59985612140204,156.2165484181022
316,144.46182124719368,156.2057271270268
317,144.17229428954124,155.99817150254557
318,143.91456414434938,155.91503269122188
319,143.6528726669167,155.5729206561584
320,143.54952072160742,155.54932646768194
321,143.38555609381297,155.4853562223684
322,143.06607419807742,155.24078600460868
323,142.52480728370068,154.83610017513132
324,142.4228859781576,154.82389917306833
325,142.32760182253097,154.75396805659219
326,142.1372386200854,154.64855279815745
327,141.8640088667289,154.56825021283845
328,141.66909411137715,154.50340157394805
329,141.46302599721966,154.3933383684601
330,141.24040641153104,154.28590943329854
331,140.24620123482208,153.234544317563
332,140.01345092636853,153.07589631058977
333,139.81377270576846,152.7938609892701
334,139.47657294258318,152.63911833031722
335,139.33459105667282,152.54065862921402
336,139.16262231394666,152.503533101072
337,138.98314480369248,152.43903723250523
338,138.8273055038911,152.36838763665452
339,138.40944343850245,152.21740490186903
340,138.07050278957868,152.1006203652966
341,137.85337784206405,151.84060349209125
342,137.57110519657084,151.73200297789464
343,137.30704174629406,151.62852131271657
344,137.17400763796917,151.5682175411481
345,137.11630073026026,151.554816017144
346,136.81484397696315,151.5010402008322
347,136.54889885711663,151.47897960033464
348,136.32234495996624,151.34016622994906
349,136.14048470478775,151.26850941858447
350,135.95793115456826,151.14166079875778
351,135.81492374882282,151.0907679184555
352,135.5823757912283,150.97105129065602
353,135.3211561833492,150.77120092384206
354,135.09442364533817,150.60453163331118
355,134.90609248021025,150.55240535234066
356,134.71354653299704,150.4868176531609
357,134.6418157670052,150.34978220754172
358,134.4515207963116,150.18098115758121
359,134.2853479458303,150.07781148669812
360,134.14383615717307,149.97107537538702
361,133.82452311771246,149.56706170253622
362,133.69600626207864,149.45487507003358
363,133.61539859072818,149.38530007895466
364,133.4400964657927,149.3278680496662
365,133.22699677389178,149.15897656340528
366,132.9772363525758,148.97443150716427
367,132.82000672120458,148.97270966823515
368,132.63947286364314,148.87003012654537
369,132.43136829442565,148.84686580632302
370,132.20186399099242,148.8374976835981
371,132.00973762190074,148.86359723558556
372,131.88166314402312,148.86177057117868
373,131.70766138802702,148.7534757932626
374,131.5675598579849,148.68036923246225
375,131.42079235770714,148.6138387121569
376,131.25997038955998,148.60680865446716
377,131.08283061407622,148.5381941465052
378,130.9841179236789,148.49002138979043
379,130.50578403189553,148.5794723142206
380,130.30914444310415,148.52243356175876
381,130.14136721562775,148.49557049805856
382,130.03137441812478,148.46085460552337
383,129.79918461466315,148.43826071341846
384,129.56255638192442,148.41364893858832
385,129.43012507563836,148.36955812385162
386,129.22938164563172,148.21250967513654
387,129.01934736601075,148.06607703359094
388,128.7543794008906,147.91708936047783
389,128.64472108191197,147.8916543245425
390,128.43350293387556,147.72884678807827
391,128.34159469647614,147.70581368439176
392,128.1608060738624,147.6343419278329
393,127.94326913386384,147.65600938248787
394,127.86915238077495,147.5951702809801
395,127.70914237393706,147.5189918315437
396,127.51222699472262,147.35856812826546
397,127.37291367246156,147.36629206204157
398,127.16829527369876,147.32633243032075
399,127.00303938463256,147.29947905783095
400,126.83373628527538,147.21423641183455
401,126.54592854694229,147.20273790956716
402,126.30356072470491,147.04629678133793
403,126.12699812227062,147.04257719167697
404,125.93761356443555,146.85606410239467
405,125.75029136988081,146.79328785801297
406,125.59049458684444,146.68396522023258
407,125.08684464661087,146.7598495662755
408,124.91603297830224,146.6494512425942
409,124.76509026195295,146.56414600929028
410,124.67480133059583,146.36899783752503
411,124.48342466152727,146.31433931095873
412,124.35254863733489,146.26766471092344
413,124.19120433653954,146.19432680396716
414,124.09863161148813,146.11919750752884
415,123.85401783186296,146.05506322157248
416,123.71721153754757,145.91828268752226
417,123.6407075779982,145.82764906776248
418,123.47549487361631,145.73207009096697
419,123.35937583819126,145.6704669107249
420,123.29368435141653,145.6413927608328
421,123.05434834586046,145.57721191397
422,122.93339661659962,145.44060429452543
423,122.76070141242417,145.47345561671455
424,122.5265397834387,145.39481226995443
425,122.31802715453095,145.28846418203568
426,121.80059774839366,144.2803175218684
427,121.6544934232706,144.25894107735775
428,121.44674674924032,144.2049817634321
429,121.1946357509941,144.1335189286596
430,121.00122672773578,144.08968317358466
431,120.81819293760965,144.00597836618658
432,120.63983409721543,143.97117367978618
433,120.34890868027293,143.88553433595115
434,120.20485758131686,143.83885500432615
435,120.08126564457689,143.8112343850927
436,119.95911875761475,143.77803156047642
437,119.80985277491752,143.7591938732347
438,119.70488721883721,143.69042337597568
439,119.45833617741827,143.67236302784735
440,119.34227931599963,143.62733474081787
441,119.22902963449954,143.6112748953085
442,119.1406602398263,143.58037037956294
443,119.02118220291408,143.37651941292964
444,118.78502258987963,143.09278022198959
445,118.6634972607854,143.05733614088913
446,118.59785877859944,143.03389828019417
447,118.47243743199569,142.997874428704
448,118.13569477870433,142.7561778783157
449,118.0078867456773,142.7227074640035
450,117.90219194687683,142.63106920995375
451,117.78050334111587,142.61719038177793
452,117.68454417421461,142.5772314835944
453,117.50754947676148,142.39993848594466
454,117.36974326098967,142.31441841269967
455,117.27586455200866,142.28423355589953
456,117.15637713688452,142.1983187479182
457,117.0342147648129,142.157723554552
458,116.86882768987691,142.10479025082608
459,116.79238919443367,142.07489364231543
460,116.62427940665806,141.94229516321437
461,116.51925293775047,141.85054658330523
462,116.44807525917831,141.83182865496707
463,116.34578338806718,141.76655681133016
464,116.16609249165485,141.68652395622001
465,116.08822953690817,141.69098429435311
466,115.91515471841267,141.3349000913272
467,115.78640304113026,141.28607705797276
468,115.5192782511655,141.2074510400405
469,115.40769614762488,141.18703712206215
470,115.26525725474932,141.18466234295008
471,115.08877015778722,141.21124516803678
472,114.86952976157862,141.0140329718062
473,114.75495132888625,141.00230408590238
474,114.64351060309993,140.9699193142453
475,114.47532675833328,140.86673778401385
476,114.38771792571043,140.84857191241264
477,114.32250652490322,140.8515575124573
478,114.16131520326567,140.81793111491174
479,114.0918234727346,140.76788856254666
480,114.07300613395546,140.7580049754803
481,113.92449526974006,140.73286957805962
482,113.74298598677028,140.70789274643786
483,113.55009222777824,140.6959307327883
